ticker,status,days_expected,days_with_success,days_with_parquet_no_success,days_missing,first_day_expected,first_day_found,last_day_found,issue_summary
CCD,INCOMPLETE_NO_SUCCESS,974,0,949,25,2015-03-27,2015-03-27,2018-12-31,949 dias sin _SUCCESS
CCG,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CCN,INCOMPLETE_NO_SUCCESS,561,0,170,391,2016-10-31,2016-10-31,2017-07-05,170 dias sin _SUCCESS
CCNE,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CCO,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CCP,INCOMPLETE_NO_SUCCESS,803,0,436,367,2015-11-23,2015-11-23,2017-08-16,436 dias sin _SUCCESS
CCRN,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
CCS,EMPTY,1076,0,0,1076,2014-11-03,,,Directorio vacio
CCSC,INCOMPLETE_NO_SUCCESS,1864,0,585,1279,2011-10-17,2011-10-17,2014-02-14,585 dias sin _SUCCESS
CCT,EMPTY,287,0,0,287,2017-11-20,,,Directorio vacio
CDI,INCOMPLETE_NO_SUCCESS,1864,0,1486,378,2011-10-17,2011-10-17,2017-09-12,1486 dias sin _SUCCESS
CDLX,INCOMPLETE_NO_SUCCESS,229,0,223,6,2018-02-12,2018-02-12,2018-12-31,223 dias sin _SUCCESS
CDNA,INCOMPLETE_NO_SUCCESS,1076,0,1047,29,2014-11-03,2014-11-03,2018-12-31,1047 dias sin _SUCCESS
CDTI,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CDXS,INCOMPLETE_NO_SUCCESS,1864,0,1814,50,2011-10-17,2011-10-17,2018-12-31,1814 dias sin _SUCCESS
CDZI,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CEB,INCOMPLETE_NO_SUCCESS,1590,0,1112,478,2012-11-05,2012-11-05,2017-04-05,1112 dias sin _SUCCESS
CECO,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CEMP,INCOMPLETE_NO_SUCCESS,1784,0,1450,334,2012-02-06,2012-02-06,2017-11-03,1450 dias sin _SUCCESS
CENT,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
CENTA,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
CERS,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
